Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /score,4275,0,610,634.1693421918206,47.448137999708706,2156.1215849997097,413.79087719298246,72.25986669508812,0.0,610,700,760,800,910,1000,1200,1400,2000,2200,2200
,Aggregated,4275,0,610,634.1693421918206,47.448137999708706,2156.1215849997097,413.79087719298246,72.25986669508812,0.0,610,700,760,800,910,1000,1200,1400,2000,2200,2200
